player_id,team_id,player_name,position,club_team,market_value_eur,caps,date_of_birth,height_cm,goals
1,1,Raúl Rangel,GK,CD Guadalajara,8933646,15,2000-02-25,190,0
2,1,César Montes,DEF,PAOK Saloniki,24628639,59,1997-12-10,176,3
3,1,Johan Vásquez,DEF,FC Lokomotiv Moscow,10912552,69,1997-02-24,191,4
4,1,Jesús Gallardo,DEF,Fenerbahçe SK,10875943,100,1997-10-24,180,7
5,1,Jorge Sánchez,DEF,Genoa CFC,18265363,47,1998-10-22,182,3
6,1,Edson Álvarez,MID,CF Cruz Azul,21520963,26,2000-05-08,172,0
7,1,Gilberto Mora,MID,CD Guadalajara,12552748,62,1995-06-05,183,4
8,1,Luis Chávez,MID,Real Betis,10697494,5,1997-04-09,175,0
9,1,Santiago Giménez,FWD,Fulham FC,15211168,127,1991-05-05,188,46
10,1,Raúl Jiménez,FWD,Deportivo Toluca FC,17281661,53,1997-11-25,175,7
11,1,Alexis Vega,FWD,AC Milan,18000000,47,2001-04-18,180,6
12,1,Guillermo Ochoa,GK,Club Santos Laguna,15432043,7,1996-04-19,185,0
13,1,Francisco Guillermo Ochoa,GK,AEL Limassol,11314518,153,1985-07-13,185,0
14,1,Julián Quiñones,FWD,CD Guadalajara,8407678,8,2003-04-20,182,1
15,1,Mateo Chávez,DEF,Club América,24804521,35,2000-05-23,181,2
16,1,Roberto Alvarado,FWD,Al Qadsiah FC,14000000,23,1997-03-24,177,3
17,1,Luis Romo,MID,AEK Athens,16337698,92,1996-03-24,169,12
18,1,César Huerta,MID,Atlético De Madrid,10000000,6,2005-08-05,175,0
19,1,Gilberto Rafael Mora,MID,Club Tijuana,19301116,9,2008-10-14,175,0
20,1,Brian Gutiérrez,DEF,AZ Alkmaar,23666035,10,2004-05-12,178,0
21,1,Armando González,FWD,RSC Anderlecht,9517865,26,2000-12-03,171,3
22,1,Guillermo Martinez,FWD,Pumas UNAM,24670186,12,1995-03-15,191,3
23,1,Jesús Daniel Gallardo,DEF,Deportivo Toluca FC,24033269,123,1994-08-15,174,3
24,1,Luis Gerardo Chavez,MID,FC Dynamo Moscow,19973810,46,1996-01-15,178,5
25,1,Roberto Carlos Alvarado,FWD,CD Guadalajara,13567593,69,1998-09-07,176,6
26,1,Brian Gutierrez,MID,CD Guadalajara,8000000,8,2003-06-17,178,2
27,2,Ronwen Williams,GK,Mamelodi Sundowns FC,800000,65,1992-01-21,184,0
28,2,Khuliso Mudau,DEF,Polokwane City FC,1200000,3,1999-01-14,189,0
29,2,Mbekezeli Mbokazi,DEF,Mamelodi Sundowns FC,1200000,5,2004-02-05,183,0
30,2,Thalente Mbatha,MID,Mamelodi Sundowns FC,2800000,58,1997-01-24,177,9
31,2,Sphephelo Sithole,MID,Orlando Pirates FC,2000000,17,2000-03-06,179,3
32,2,Nkosinathi Sibisi,DEF,Mamelodi Sundowns FC,1800000,49,1995-07-22,171,3
33,2,Lyle Foster,FWD,Orlando Pirates FC,2500000,28,2001-08-25,171,8
34,2,Oswin Appollis,FWD,Orlando Pirates FC,1400000,10,2000-10-02,169,1
35,2,Evidence Makgopa,FWD,Burnley FC,8000000,32,2000-09-03,185,10
36,2,Tshepang Moremi,FWD,Orlando Pirates FC,3000000,14,2004-10-23,168,1
37,2,Jayden Adams,MID,Mamelodi Sundowns FC,250000,56,1989-08-03,178,12
38,2,Thapelo Maseko,FWD,AEL Limassol,1200000,8,2003-11-11,178,1
39,2,Kamogelo Sebelebele,MID,CD Tondela,600000,30,1999-03-03,197,1
40,2,Aubrey Modiba,DEF,Chicago Fire FC,3500000,11,2005-09-19,177,1
41,2,Iqraam Rayners,FWD,Mamelodi Sundowns FC,2800000,21,1995-12-19,174,5
42,2,Sipho Chaine,GK,Orlando Pirates FC,1600000,4,1996-12-14,186,0
43,2,Sekotori Evidence Makgopa,FWD,Orlando Pirates FC,1400000,28,2000-06-05,183,6
44,2,Thabang Matuludi,DEF,Molde FK,2500000,6,2004-03-15,179,0
45,2,Khulumani Ndamane,DEF,Orlando Pirates FC,1600000,22,1995-09-22,172,0
46,2,Olwethu Makhanya,DEF,Mamelodi Sundowns FC,1200000,35,1995-04-26,179,1
47,2,Ime Daniel Okon,DEF,Hannover 96,450000,9,2004-02-20,187,1
48,2,Stuart Ricardo Goss,GK,Siwelele FC,350000,7,1994-04-02,181,0
49,2,Jayden Oswin Adams,MID,Mamelodi Sundowns FC,1800000,9,2001-05-05,177,2
50,2,Olwethu Mpilwenhle Makhanya,DEF,Philadelphia Union,2000000,1,2004-04-30,185,0
51,2,Kamogelo Michael Sebelebele,FWD,Orlando Pirates FC,1200000,9,2002-07-21,166,1
52,2,Bradley Paul Cross,DEF,Kaizer Chiefs FC,550000,1,2001-01-30,175,0
53,3,Seunggyu Kim,GK,FC Tokyo,500000,87,1990-09-30,187,0
54,3,Hanbeom Lee,DEF,FC Midtjylland,3000000,9,2002-06-17,188,0
55,3,Gihyuk Lee,MID,Gangwon FC,800000,4,2000-07-07,184,0
56,3,Minjae Kim,DEF,FC Bayern München,20000000,80,1996-11-15,190,4
57,3,Taehyeon Kim,DEF,Kashima Antlers,1200000,7,2000-09-17,186,0
58,3,Inbeom Hwang,MID,Feyenoord Rotterdam,7000000,74,1996-09-20,177,7
59,3,Heung Min Son,FWD,LAFC,15000000,145,1992-07-08,183,56
60,3,Seungho Paik,MID,Birmingham City FC,2000000,28,1997-03-17,182,3
61,3,Guesung Cho,FWD,FC Midtjylland,2500000,44,1998-01-25,188,12
62,3,Jae Sung Lee,MID,1. FSV Mainz 05,2000000,106,1992-08-10,180,15
63,3,Hee Chan Hwang,MID,Wolverhampton Wanderers FC,6000000,80,1996-01-26,177,17
64,3,Bumkeun Song,GK,Jeonbuk Hyundai Motors FC,1000000,3,1997-10-15,196,0
65,3,Taeseok Lee,DEF,FK Austria Wien,2000000,16,2002-07-28,174,1
66,3,Wije Cho,DEF,Jeonbuk Hyundai Motors FC,550000,1,2001-08-25,190,0
67,3,Moonhwan Kim,DEF,Daejeon Hana Citizen FC,750000,36,1995-08-01,173,0
68,3,Jinseob Park,DEF,Zhejiang FC,1000000,15,1995-10-23,183,1
69,3,Junho Bae,MID,Stoke City FC,4000000,13,2003-08-21,180,2
70,3,Hyeongyu Oh,FWD,Be ş ikta ş  JK,15000000,28,2001-04-12,183,7
71,3,Kangin Lee,MID,Paris Saint-Germain,28000000,48,2001-02-19,174,10
72,3,Hyunjun Yang,MID,Celtic FC,5000000,9,2002-05-25,179,0
73,3,Hyeonwoo Jo,GK,Ulsan HD,650000,48,1991-09-25,189,0
74,3,Youngwoo Seol,DEF,FK Crvena Zvezda,6500000,35,1998-12-05,180,0
75,3,Jens Castrop,DEF,Borussia Mönchengladbach,10000000,7,2003-07-29,178,0
76,3,Jingyu Kim,MID,Jeonbuk Hyundai Motors FC,1200000,23,1997-02-24,177,3
77,3,Jisung Eom,MID,Swansea City AFC,1800000,10,2002-05-09,177,2
78,3,Donggyeong Lee,MID,Ulsan HD,1600000,18,1997-09-20,175,4
79,4,Matej Kovář,GK,PSV Eindhoven,3745909,21,2000-05-17,196,0
80,4,Ladislav Krejčí,DEF,SK Slavia Praha,7000000,25,2000-11-08,190,1
81,4,Robin Hranáč,DEF,SK Slavia Praha,1000000,41,1993-03-31,180,2
82,4,David Zima,DEF,TSG Hoffenheim,10000000,15,2000-01-29,189,1
83,4,Tomáš Holeš,DEF,TSG Hoffenheim,2500000,63,1992-08-22,175,2
84,4,David Jurásek,DEF,SK Slavia Praha,8333277,6,2003-03-08,188,0
85,4,Štěpán Chaloupek,DEF,Wolverhampton Wanderers FC,22000000,28,1999-04-20,191,6
86,4,Tomáš Souček,MID,FC Hradec Králové,375000,79,1990-08-08,172,8
87,4,Adam Hložek,FWD,TSG Hoffenheim,10000000,44,2002-07-25,188,5
88,4,Tomáš Chorý,FWD,Bayer 04 Leverkusen,18000000,54,1996-01-24,191,26
89,4,Jan Kuchta,FWD,AC Sparta Praha,2700000,31,1997-01-08,185,3
90,4,Vladimír Darida,MID,FC Viktoria Plze ň,6000000,17,2001-04-10,182,2
